release_id,curve_id,source_id,source_family_id,formulation_id,sample_id,property_name,unit,point_count,point_index_min,point_index_max,value_min,value_max,condition_name,condition_unit,condition_min,condition_max,gold_admission_status,usage_mode,model_ready,leakage_group,development_split,source_holdout_fold,curve_total_loss_weight,source_locator,citation_keys,license
tpu-usable-2026-07-21-v1,compression:RPUF_0:RPUF1_compression_Specimen_1,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_1,compressive_stress,MPa,233,1.0,233.0,-0.0007,0.20102,compressive_strain,dimensionless,0.0,0.26944,conditional_reference,auxiliary_train,True,hard_group_fd781ae26d0b0ae3,train,3,0.062499999919,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_1.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,CC BY 4.0
tpu-usable-2026-07-21-v1,compression:RPUF_0:RPUF1_compression_Specimen_10,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_10,compressive_stress,MPa,225,1.0,225.0,-5e-05,0.2476,compressive_strain,dimensionless,0.0,0.26937,conditional_reference,auxiliary_train,True,hard_group_fd781ae26d0b0ae3,train,3,0.06250000005,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_10.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,CC BY 4.0
tpu-usable-2026-07-21-v1,compression:RPUF_0:RPUF1_compression_Specimen_11,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_11,compressive_stress,MPa,226,1.0,226.0,2e-05,0.25071,compressive_strain,dimensionless,0.0,0.26979,conditional_reference,auxiliary_train,True,hard_group_fd781ae26d0b0ae3,train,3,0.062500000098,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_11.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,CC BY 4.0
tpu-usable-2026-07-21-v1,compression:RPUF_0:RPUF1_compression_Specimen_2,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_2,compressive_stress,MPa,238,1.0,238.0,-0.0006,0.20031,compressive_strain,dimensionless,0.0,0.26964,conditional_reference,auxiliary_train,True,hard_group_fd781ae26d0b0ae3,train,3,0.062499999996,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_2.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,CC BY 4.0
tpu-usable-2026-07-21-v1,compression:RPUF_0:RPUF1_compression_Specimen_3,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_3,compressive_stress,MPa,235,1.0,235.0,-0.00032,0.20667,compressive_strain,dimensionless,0.0,0.26897,conditional_reference,auxiliary_train,True,hard_group_fd781ae26d0b0ae3,train,3,0.062500000045,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_3.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,CC BY 4.0
tpu-usable-2026-07-21-v1,compression:RPUF_0:RPUF1_compression_Specimen_4,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_4,compressive_stress,MPa,234,1.0,234.0,-0.00027,0.20658,compressive_strain,dimensionless,0.0,0.26966,conditional_reference,auxiliary_train,True,hard_group_fd781ae26d0b0ae3,train,3,0.062499999978,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_4.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,CC BY 4.0
tpu-usable-2026-07-21-v1,compression:RPUF_0:RPUF1_compression_Specimen_5,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_5,compressive_stress,MPa,235,1.0,235.0,-0.00037,0.20769,compressive_strain,dimensionless,0.0,0.26896,conditional_reference,auxiliary_train,True,hard_group_fd781ae26d0b0ae3,train,3,0.062500000045,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_5.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,CC BY 4.0
tpu-usable-2026-07-21-v1,compression:RPUF_0:RPUF1_compression_Specimen_6,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_6,compressive_stress,MPa,233,1.0,233.0,-0.00041,0.21138,compressive_strain,dimensionless,0.0,0.26946,conditional_reference,auxiliary_train,True,hard_group_fd781ae26d0b0ae3,train,3,0.062499999919,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_6.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,CC BY 4.0
tpu-usable-2026-07-21-v1,compression:RPUF_0:RPUF1_compression_Specimen_7,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_7,compressive_stress,MPa,239,1.0,239.0,1e-05,0.24893,compressive_strain,dimensionless,0.0,0.26892,conditional_reference,auxiliary_train,True,hard_group_fd781ae26d0b0ae3,train,3,0.062499999964,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_7.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,CC BY 4.0
tpu-usable-2026-07-21-v1,compression:RPUF_0:RPUF1_compression_Specimen_8,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_8,compressive_stress,MPa,242,1.0,242.0,2e-05,0.2442,compressive_strain,dimensionless,0.0,0.2694,conditional_reference,auxiliary_train,True,hard_group_fd781ae26d0b0ae3,train,3,0.062500000046,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_8.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,CC BY 4.0
