source_directory,source_record_id,observation_id,formulation_id,sample_id,record_kind,component_name,component_role,property_name,value,unit,uncertainty_value,uncertainty_type,condition_name,condition_value,condition_unit,target_origin,data_origin,reduction_level,method_or_test_protocol,fidelity_level,gold_admission_status,mapping_status,protocol_status,potential_weight_ceiling,current_weight_materialized,training_weight,split_group,source_locator,file_sha256,license,citation_keys,notes
第十六批实验_再生PU泡沫,article-density:RPUF_0,recycled-pu:RPUF_0:apparent-density,RPUF_0,RPUF_0,aggregate_scalar,,,apparent_density,51.6,kg/m^3,,,,,,experimental,published_article_table,aggregate,mass divided by calibrated-calliper mean specimen volume,published_experimental_aggregate,admitted_reference,formulation_resolved_commercial_components_unresolved,published_table_verified,0.4,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/论文_10.12688_openreseurope.13288.2.pdf#page=6;formulation=RPUF_0;apparent_density,95e32ae80b63afdbf144b002099d4e546e5bb2dfb49aae406ca645df7c02c0e4,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,表观密度为配方级汇总，不扩增为试样重复。
第十六批实验_再生PU泡沫,article-density:RPUF_1.5,recycled-pu:RPUF_1.5:apparent-density,RPUF_1.5,RPUF_1.5,aggregate_scalar,,,apparent_density,42.2,kg/m^3,,,,,,experimental,published_article_table,aggregate,mass divided by calibrated-calliper mean specimen volume,published_experimental_aggregate,admitted_reference,formulation_resolved_commercial_components_unresolved,published_table_verified,0.4,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/论文_10.12688_openreseurope.13288.2.pdf#page=6;formulation=RPUF_1.5;apparent_density,95e32ae80b63afdbf144b002099d4e546e5bb2dfb49aae406ca645df7c02c0e4,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,表观密度为配方级汇总，不扩增为试样重复。
第十六批实验_再生PU泡沫,article-density:RPUF_3.0,recycled-pu:RPUF_3.0:apparent-density,RPUF_3.0,RPUF_3.0,aggregate_scalar,,,apparent_density,44.4,kg/m^3,,,,,,experimental,published_article_table,aggregate,mass divided by calibrated-calliper mean specimen volume,published_experimental_aggregate,admitted_reference,formulation_resolved_commercial_components_unresolved,published_table_verified,0.4,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/论文_10.12688_openreseurope.13288.2.pdf#page=6;formulation=RPUF_3.0;apparent_density,95e32ae80b63afdbf144b002099d4e546e5bb2dfb49aae406ca645df7c02c0e4,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,表观密度为配方级汇总，不扩增为试样重复。
第十六批实验_再生PU泡沫,article-density:RPUF_4.5,recycled-pu:RPUF_4.5:apparent-density,RPUF_4.5,RPUF_4.5,aggregate_scalar,,,apparent_density,43.6,kg/m^3,,,,,,experimental,published_article_table,aggregate,mass divided by calibrated-calliper mean specimen volume,published_experimental_aggregate,admitted_reference,formulation_resolved_commercial_components_unresolved,published_table_verified,0.4,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/论文_10.12688_openreseurope.13288.2.pdf#page=6;formulation=RPUF_4.5;apparent_density,95e32ae80b63afdbf144b002099d4e546e5bb2dfb49aae406ca645df7c02c0e4,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,表观密度为配方级汇总，不扩增为试样重复。
第十六批实验_再生PU泡沫,article-density:RPUF_6.0,recycled-pu:RPUF_6.0:apparent-density,RPUF_6.0,RPUF_6.0,aggregate_scalar,,,apparent_density,43.5,kg/m^3,,,,,,experimental,published_article_table,aggregate,mass divided by calibrated-calliper mean specimen volume,published_experimental_aggregate,admitted_reference,formulation_resolved_commercial_components_unresolved,published_table_verified,0.4,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/论文_10.12688_openreseurope.13288.2.pdf#page=6;formulation=RPUF_6.0;apparent_density,95e32ae80b63afdbf144b002099d4e546e5bb2dfb49aae406ca645df7c02c0e4,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,表观密度为配方级汇总，不扩增为试样重复。
第十六批实验_再生PU泡沫,article-density:SPUF_0,recycled-pu:SPUF_0:apparent-density,SPUF_0,SPUF_0,aggregate_scalar,,,apparent_density,23.1,kg/m^3,,,,,,experimental,published_article_table,aggregate,mass divided by calibrated-calliper mean specimen volume,published_experimental_aggregate,admitted_reference,formulation_resolved_commercial_components_unresolved,published_table_verified,0.4,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/论文_10.12688_openreseurope.13288.2.pdf#page=6;formulation=SPUF_0;apparent_density,95e32ae80b63afdbf144b002099d4e546e5bb2dfb49aae406ca645df7c02c0e4,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,表观密度为配方级汇总，不扩增为试样重复。
第十六批实验_再生PU泡沫,article-density:SPUF_1.5,recycled-pu:SPUF_1.5:apparent-density,SPUF_1.5,SPUF_1.5,aggregate_scalar,,,apparent_density,24.7,kg/m^3,,,,,,experimental,published_article_table,aggregate,mass divided by calibrated-calliper mean specimen volume,published_experimental_aggregate,admitted_reference,formulation_resolved_commercial_components_unresolved,published_table_verified,0.4,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/论文_10.12688_openreseurope.13288.2.pdf#page=6;formulation=SPUF_1.5;apparent_density,95e32ae80b63afdbf144b002099d4e546e5bb2dfb49aae406ca645df7c02c0e4,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,表观密度为配方级汇总，不扩增为试样重复。
第十六批实验_再生PU泡沫,article-density:SPUF_3.0,recycled-pu:SPUF_3.0:apparent-density,SPUF_3.0,SPUF_3.0,aggregate_scalar,,,apparent_density,26.9,kg/m^3,,,,,,experimental,published_article_table,aggregate,mass divided by calibrated-calliper mean specimen volume,published_experimental_aggregate,admitted_reference,formulation_resolved_commercial_components_unresolved,published_table_verified,0.4,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/论文_10.12688_openreseurope.13288.2.pdf#page=6;formulation=SPUF_3.0;apparent_density,95e32ae80b63afdbf144b002099d4e546e5bb2dfb49aae406ca645df7c02c0e4,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,表观密度为配方级汇总，不扩增为试样重复。
第十六批实验_再生PU泡沫,article-density:SPUF_4.5,recycled-pu:SPUF_4.5:apparent-density,SPUF_4.5,SPUF_4.5,aggregate_scalar,,,apparent_density,26.6,kg/m^3,,,,,,experimental,published_article_table,aggregate,mass divided by calibrated-calliper mean specimen volume,published_experimental_aggregate,admitted_reference,formulation_resolved_commercial_components_unresolved,published_table_verified,0.4,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/论文_10.12688_openreseurope.13288.2.pdf#page=6;formulation=SPUF_4.5;apparent_density,95e32ae80b63afdbf144b002099d4e546e5bb2dfb49aae406ca645df7c02c0e4,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,表观密度为配方级汇总，不扩增为试样重复。
第十六批实验_再生PU泡沫,article-compression:RPUF_0,recycled-pu:RPUF_0:article-stress-at-10pct,RPUF_0,RPUF_0,aggregate_scalar,,,compressive_strength_at_10_percent_deformation,123.7,kPa,,,compressive_strain,0.1,dimensionless,experimental,published_article_table,aggregate,UNE-EN ISO 604; published Table 5 or Table 6,published_experimental_aggregate,admitted_reference,formulation_resolved_commercial_components_unresolved,published_aggregate_reproduced_by_raw_curves,0.4,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/论文_10.12688_openreseurope.13288.2.pdf#page=8;formulation=RPUF_0;strain=10%,95e32ae80b63afdbf144b002099d4e546e5bb2dfb49aae406ca645df7c02c0e4,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,与逐试样原始曲线共享来源家族预算，不重复计独立样本。
